"Note: in order of color, mega cap> large cap> mid cap> small cap> micro cap ",,,,,,,,
,,,,,,,,
Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
JNJ,Johnson & Johnson,140.08," 375,974,681,898.24 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnj
PFE,"Pfizer, Inc.",35.55," 211,428,258,869.70 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pfe
UNH,UnitedHealth Group Incorporated,212.87," 205,815,472,447.62 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/unh
NVS,Novartis AG,83.7," 196,100,730,000.00 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nvs
MRK,"Merck & Company, Inc.",56.06," 152,895,484,300.40 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrk
ABBV,AbbVie Inc.,92.31," 147,150,881,572.38 ",n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
MMM,3M Company,232.22," 138,312,114,839.76 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
NVO,Novo Nordisk A/S,49.94," 127,347,000,000.00 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nvo
AMGN,Amgen Inc.,173.43," 125,894,671,022.25 ",n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
SNY,Sanofi,45.74," 114,525,957,388.96 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sny
MDT,Medtronic plc,78.43," 106,553,118,111.33 ",n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/mdt
BMY,Bristol-Myers Squibb Company,62.22," 101,835,455,085.12 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmy
ABT,Abbott Laboratories,55.47," 96,375,977,854.08 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
GILD,"Gilead Sciences, Inc.",73.44," 95,986,080,000.00 ",n/a,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gild
LLY,Eli Lilly and Company,83.51," 91,952,419,315.61 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lly
